freq[GHz], re(A), im(A), re(B), im(B), re(C), im(C), re(D), im(D)
4.1,0.27903231213970564,0.010271262432876686,-17.510368781637172,24.277126260970835,-0.00010410240434158974,0.019191323167377858,0.6426381534280134,0.48521243721165025
4.2,0.2489009269436269,0.010782933544735597,-18.252350497787635,24.47414702016814,-0.00011504492446067806,0.01936597397788017,0.6274959703476748,0.4896131911462304
4.3,0.21853872260826013,0.01128871353793041,-19.001112835825158,24.646268229000878,-0.0001265008214449831,0.01952212646379967,0.6122233910794183,0.49353739051710355
4.4,0.18797542014867058,0.011785948155468705,-19.755974707063235,24.793332429444835,-0.0001384460720926699,0.019659641581858577,0.5968351833858906,0.4969806452423801
4.5,0.15724077672244968,0.012271966246622464,-20.516247759507724,24.915210580559496,-0.00015085231646924787,0.019778396780280868,0.581346228561319,0.49993902110704475
4.6,0.12636455565657898,0.012744103678975086,-21.281236624263705,25.011802030851864,-0.0001636869693625617,0.01987828581304836,0.5657715072396066,0.5024090471115097
4.7,0.09537649881068368,0.013199727425915277,-22.050239188103184,25.083034420468728,-0.00017691338203289285,0.01995921855016275,0.5501260853732192,0.5043877224985145
4.8,0.06430630128905838,0.013636259497223416,-22.822546897598503,25.128863516982022,-0.00019049105262855222,0.020021120789403123,0.5344251003996455,0.505872523399852
4.9,0.03318358849217918,0.014051200386060751,-23.597445098741098,25.14927298966586,-0.00020437588285881716,0.020063934074482436,0.5186837476319617,0.5068614090385561
5,0.002037895435128003,0.014442151716725951,-24.374213416144087,25.144274126984197,-0.00021852047781846748,0.020087615524595565,0.5029172668690065,0.5073528274239647
5.1,-0.029101351763002888,0.014806837794952985,-25.15212617429796,25.113905502813353,-0.00023287448520385376,0.020092137679646946,0.4871409292445561,0.5073457204747926
5.2,-0.0602048523530589,0.015143125783871414,-25.93045286298335,25.058232597665043,-0.0002473849695981338,0.020077488364814263,0.4713700242991842,0.5068395285092375
5.3,-0.09124344556718553,0.015449044255165068,-26.708458648044967,24.977347380368148,-0.0002619968170231425,0.02004367057787444,0.4556198472613308,0.5058341940436641
5.4,-0.12218812355439622,0.01572279989446897,-27.485404927479518,24.871367856847385,-0.00027665316455691537,0.019990702401635852,0.43990568652348844,0.5043301648471618
5.5,-0.15301004286009068,0.015962792172476755,-28.2605499324833,24.74043759126343,-0.0002912958495300041,0.01991861694365714,0.4242428112735006,0.5023283962056658
5.6,-0.18368053468348852,0.016167625827892367,-29.03314937194025,24.584725205863613,-0.0003058658726048718,0.019827462304225177,0.40864645925335785,0.49983035235734147
5.7,-0.21417111416273757,0.016336121044107293,-29.802457118437292,24.404423864358762,-0.0003203038689472953,0.019717301573321803,0.3931318245994182,0.4968380070690882
5.8,-0.2444534889321236,0.016467321237902174,-30.567725932841295,24.199750744029817,-0.0003345505816763619,0.019588212856368768,0.3777140457272178,0.4933538433348485
5.9,-0.2744995672212178,0.01656049841498716,-31.3282082245808,23.970946500813522,-0.0003485473318735055,0.01944028932793564,0.36240819320735834,0.48938085218435984
6,-0.3042814657378965,0.016615156082695613,-32.08315684361011,23.718274731341303,-0.00036223647957654617,0.019273639312006836,0.3472292575978799,0.48492253060376156
