"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []","re(S(1,2)) []","im(S(1,2)) []","re(S(2,1)) []","im(S(2,1)) []","re(S(2,2)) []","im(S(2,2)) []"
3.6,0.00440890462369226,-0.00401873788844284,0.422555533415005,-0.896933546122323,0.422555533415004,-0.896933546122322,0.00529956258680975,-0.00575858972729726
3.7,0.00410115882237488,-0.00456725056520937,0.394115645491768,-0.90933025387898,0.394115645491768,-0.90933025387898,0.00495332645050239,-0.00637094360871532
3.8,0.00374102069255061,-0.00511055670593086,0.365323553122075,-0.920818006619587,0.365323553122077,-0.920818006619592,0.00455148828743596,-0.00697685196595108
3.9,0.00332836825000921,-0.00564405828048289,0.336209100575217,-0.931388192504718,0.336209100575217,-0.931388192504717,0.00409394319344586,-0.00757147801393274
4,0.00286350688191606,-0.00616308588622008,0.306802192026158,-0.941033277428991,0.306802192026158,-0.94103327742899,0.0035810309438053,-0.00814991055166642
4.1,0.00234718043649995,-0.00666294110140175,0.277132740916185,-0.949746784904965,0.277132740916183,-0.949746784904963,0.00301354747809846,-0.00870720752180748
4.2,0.00178057770549733,-0.00713894039986178,0.247230622626069,-0.957523272335886,0.247230622626069,-0.957523272335886,0.00239275169803299,-0.00923844116184303
4.3,0.00116533411014025,-0.00758646006970172,0.217125630819619,-0.964358304147318,0.217125630819619,-0.964358304147318,0.00172036738552994,-0.00973874417478264
4.4,0.000503528446605617,-0.00800098155531001,0.186847437720951,-0.970248422290953,0.186847437720951,-0.970248422290953,0.000998580099112523,-0.0102033563403762
4.5,-0.000202325340780296,-0.00837813662224222,0.156425558547787,-0.975191114650125,0.156425558547788,-0.975191114650126,0.000230029017078692,-0.0106276709632105
4.6,-0.000949291331060087,-0.00871375175563112,0.125889320219968,-0.979184781898496,0.125889320219968,-0.979184781898494,-0.000582206246082517,-0.0110072805555615
4.7,-0.00173402963782893,-0.00900389120206938,0.0952678344107903,-0.982228703361635,0.0952678344107904,-0.982228703361637,-0.00143462374232728,-0.0113380211710477
4.8,-0.00255281907958943,-0.00924489809594242,0.0645899749109815,-0.984323002428359,0.0645899749109816,-0.98432300242836,-0.00232332203188235,-0.0116160148157144
4.9,-0.0034015842499861,-0.00943343312946916,0.0338843592383665,-0.985468612037283,0.0338843592383665,-0.985468612037283,-0.00324402750286157,-0.0118377094042793
5,-0.00427592668227011,-0.00956651028085678,0.00317933432585896,-0.985667240743187,0.00317933432585895,-0.985667240743191,-0.00419212586303735,-0.0119999157571873
5.1,-0.00517115973785875,-0.00964152914304279,-0.0274970339067909,-0.984921339831032,-0.0274970339067909,-0.984921339831032,-0.00516269743198211,-0.0120998411955247
5.2,-0.00608234679223668,-0.00965630346501822,-0.058116967363832,-0.983234071908055,-0.0581169673638323,-0.983234071908058,-0.00615055580661006,-0.0121351193278134
5.3,-0.00700434227008795,-0.00960908556492378,-0.0886529792767295,-0.980609281358351,-0.0886529792767301,-0.980609281358357,-0.00715028945089691,-0.0121038356905664
5.4,-0.00793183502619699,-0.00949858633495015,-0.119077874732918,-0.977051466996138,-0.119077874732918,-0.977051466996138,-0.00815630570639342,-0.0120045489657649
5.5,-0.00885939357078597,-0.00932399062883915,-0.149364748613128,-0.972565757201864,-0.149364748613127,-0.97256575720186,-0.00916287672130195,-0.0118363075515769
5.6,-0.00978151259615145,-0.00908496787732895,-0.179486981328641,-0.967157887772416,-0.179486981328642,-0.967157887772421,-0.0101641867555206,-0.0115986613391612
5.7,-0.0106926602780734,-0.00878167784679283,-0.209418232776836,-0.960834182661379,-0.209418232776836,-0.96083418266138,-0.0111543803349349,-0.0112916686022592
5.8,-0.0115873258107449,-0.00841477151624341,-0.239132434925234,-0.953601537734258,-0.239132434925234,-0.953601537734257,-0.0121276107141911,-0.0109158979738233
5.9,-0.0124600666494735,-0.0079853871100119,-0.268603783460941,-0.94546740760659,-0.268603783460942,-0.945467407606589,-0.0130780881221907,-0.0104724255412984
6,-0.0133055549458158,-0.00749514137799767,-0.297806728909016,-0.936439795587612,-0.297806728909017,-0.936439795587614,-0.0140001272767444,-0.00996282715379726
